Filename,P_BEAM_WIDTH,P_EN,P_EVALUATION,P_QUEUE_SIZE,P_SLICE,P_SN,P_THRESHOLD,Result Size,Execution Time (sec),Used pmode=2
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD22_SN5_EN15_202603d_060802.txt,262144,15,3,,2,5,22,69,46.931,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD22_SN6_EN13_202603d_061210.txt,262144,13,3,,2,6,22,70,46.957,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD20_SN6_EN10_202603d_020246.txt,262144,10,3,,1,6,20,63,46.995,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD18_SN5_EN15_202603d_044758.txt,262144,15,3,,2,5,18,66,47.014,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD24_SN4_EN10_202603d_063517.txt,262144,10,3,,2,4,24,67,47.1,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD16_SN3_EN13_202603d_035200.txt,262144,13,3,,2,3,16,66,47.281,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD16_SN5_EN15_202603d_003318.txt,262144,15,3,,1,5,16,62,47.284,False
result_SN2_EN10_SLICE2_BEAM_WIDTH262144_THRESHOLD20_EVALUATION1_202603d_220357.txt,262144,10,1,,2,2,20,74,47.325,False
result_SN2_EN10_SLICE64_BEAM_WIDTH262144_THRESHOLD22_EVALUATION1_202603d_222432.txt,262144,10,1,,64,2,22,82,47.376,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD18_SN6_EN10_202603d_044859.txt,262144,10,3,,2,6,18,67,47.449,False
result_SN2_EN10_SLICE1_BEAM_WIDTH262144_THRESHOLD20_EVALUATION2_202603d_215835.txt,262144,10,2,,1,2,20,75,47.474,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD18_SN6_EN13_202603d_045210.txt,262144,13,3,,2,6,18,69,47.502,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD24_SN5_EN11_202603d_032205.txt,262144,11,3,,1,5,24,63,47.57,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD22_SN6_EN10_202603d_060900.txt,262144,10,3,,2,6,22,70,47.657,False
result_SN2_EN10_SLICE32_BEAM_WIDTH262144_THRESHOLD22_EVALUATION2_202603d_221916.txt,262144,10,2,,32,2,22,81,47.682,False
result_SN2_EN12_SLICE64_BEAM_WIDTH262144_THRESHOLD20_EVALUATION2_202603d_225631.txt,262144,12,2,,64,2,20,79,47.732,False
result_BEAM_WIDTH262144_SLICE1_EVALUATION1_THRESHOLD18_SN3_EN11_202603d_232823.txt,262144,11,1,,1,3,18,67,47.821,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD18_SN7_EN12_202603d_012831.txt,262144,12,3,,1,7,18,67,47.89,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD24_SN7_EN14_202603d_033834.txt,262144,14,3,,1,7,24,75,48.021,False
result_BEAM_WIDTH262144_SLICE1_EVALUATION1_THRESHOLD18_SN3_EN12_202603d_232923.txt,262144,12,1,,1,3,18,66,48.029,False
